0.71824	57.5541	57.5348	57.8457	57.5852	57.3155	57.524	57.8361	57.551	57.2167	57.592	58.7991	58.5676	58.0952	57.5291	57.2834	56.7546	56.2717	57.4223	58.6397	58.6876	58.2488	57.5756	57.0044	56.2725	56.1245	
0.74842	57.5532	57.535	57.8436	57.5827	57.3139	57.5231	57.8357	57.5514	57.22	57.5926	58.7926	58.5597	58.0885	57.5256	57.2833	56.7537	56.27	57.4319	58.6531	58.6905	58.2461	57.576	57.0137	56.2883	56.1361	
0.82673	57.5513	57.5397	57.8383	57.5767	57.3078	57.5205	57.8334	57.554	57.2303	57.5977	58.7756	58.5409	58.0706	57.5143	57.2748	56.737	56.254	57.4342	58.6647	58.6871	58.2378	57.5778	57.0413	56.3347	56.1735	
0.85957	57.5498	57.5427	57.8363	57.5732	57.3041	57.5177	57.8307	57.5539	57.2348	57.6121	58.7758	58.5343	58.0629	57.5085	57.2674	56.7247	56.2427	57.4292	58.6609	58.679	58.232	57.578	57.052	56.355	56.1964	
0.91471	57.5493	57.5497	57.8347	57.5689	57.2977	57.5116	57.8261	57.5552	57.2435	57.6537	58.7854	58.524	58.0499	57.4984	57.2543	56.6993	56.2161	57.4071	58.6409	58.6595	58.2208	57.5785	57.0712	56.3897	56.2402	
0.96794	57.5492	57.5571	57.8333	57.5648	57.2919	57.5055	57.8217	57.5563	57.2521	57.6816	58.7931	58.5141	58.0372	57.4886	57.2417	56.6728	56.1801	57.3659	58.607	58.6395	58.2096	57.5777	57.0881	56.4199	56.2694	
0.99897	57.5491	57.5622	57.833	57.563	57.2897	57.5028	57.8193	57.5569	57.2571	57.69	58.7951	58.5085	58.0298	57.4843	57.2364	56.6604	56.1626	57.3403	58.5887	58.6286	58.2023	57.5773	57.0961	56.4344	56.28	
1.04829	57.5493	57.569	57.8337	57.5608	57.2879	57.499	57.816	57.556	57.2638	57.6995	58.7969	58.501	58.019	57.4784	57.2321	56.6509	56.1534	57.3228	58.5758	58.617	58.1897	57.5744	57.1055	56.4521	56.2972	
1.10258	57.5496	57.5758	57.8342	57.5603	57.2891	57.4988	57.8123	57.5547	57.2688	57.7275	58.8096	58.4967	58.0088	57.4759	57.2353	56.6573	56.1775	57.3548	58.5979	58.6127	58.177	57.5693	57.111	56.4656	56.3238	
1.14814	57.5489	57.5808	57.8341	57.5613	57.2926	57.5014	57.809	57.5531	57.2716	57.7693	58.8317	58.4953	58.0014	57.4764	57.246	56.6757	56.2128	57.414	58.635	58.6126	58.1663	57.563	57.1136	56.4732	56.3481	
1.19114	57.5472	57.5811	57.8327	57.5603	57.296	57.5017	57.8043	57.5478	57.2715	57.8013	58.8536	58.4919	57.9922	57.4779	57.26	56.6986	56.2407	57.4593	58.664	58.6076	58.1528	57.5552	57.1115	56.4749	56.3593	
